"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Almar Avenue",67,2.68,1.53,22,0.88,1.39,"04-11-2009","Pre-SSWD"
"Almar Avenue",43,1.72,0.98,25,1,1.58,"04-11-2009","Pre-SSWD"
"Almar Avenue",24,0.96,0.55,25,1,1.58,"04-11-2009","Pre-SSWD"
"Almar Avenue",48,1.92,1.1,18,0.72,1.14,"04-11-2009","Pre-SSWD"
"Almar Avenue",83,3.32,1.9,21,0.84,1.33,"11-01-2009","Pre-SSWD"
"Almar Avenue",50,2,1.15,19,0.76,1.2,"11-02-2009","Pre-SSWD"
"Almar Avenue",57,2.28,1.31,29,1.16,1.83,"11-03-2009","Pre-SSWD"
"Almar Avenue",81,3.24,1.85,25,1,1.58,"11-14-2009","Pre-SSWD"
"Almar Avenue",55,2.2,1.26,18,0.72,1.14,"11-14-2009","Pre-SSWD"
"Almar Avenue",46,1.84,1.05,11,0.44,0.69,"10-25-2011","Pre-SSWD"
"Almar Avenue",10,0.4,0.23,6,0.24,0.38,"02-06-2012","Pre-SSWD"
"Almar Avenue",36,1.44,0.82,5,0.2,0.32,"03-12-2012","Pre-SSWD"
"Almar Avenue",24,0.96,0.55,7,0.28,0.44,"06-22-2012","Pre-SSWD"
"Almar Avenue",20,0.8,0.46,3,0.12,0.19,"03-21-2013","Pre-SSWD"
"Almar Avenue",20,0.8,0.46,5,0.2,0.32,"04-30-2013","Pre-SSWD"
"Almar Avenue",45,1.8,1.03,15,0.6,0.95,"04-30-2013","Pre-SSWD"
"Almar Avenue",40,1.6,0.92,17,0.68,1.07,"08-08-2013","Pre-SSWD"
"Almar Avenue",37,1.48,0.85,14,0.56,0.88,"08-08-2013","Pre-SSWD"
"Almar Avenue",0,0,0,0,0,0,"01-27-2014","Post-SSWD"
"Almar Avenue",11,0.44,0.25,0,0,0,"03-25-2014","Post-SSWD"
"Almar Avenue",0,0,0,0,0,0,"04-03-2014","Post-SSWD"
"Almar Avenue",0,0,0,1,0.04,0.06,"04-22-2014","Post-SSWD"
"Almar Avenue",16,0.64,0.37,0,0,0,"07-15-2014","Post-SSWD"
"Almar Avenue",3,0.12,0.07,1,0.04,0.06,"12-05-2014","Post-SSWD"
"Almar Avenue",2,0.08,0.05,0,0,0,"04-23-2015","Post-SSWD"
"Almar Avenue",8,0.32,0.18,0,0,0,"06-07-2015","Post-SSWD"
"Almar Avenue",13,0.52,0.3,1,0.04,0.06,"05-02-2016","Post-SSWD"
"Almar Avenue",13,0.52,0.3,5,0.2,0.32,"05-12-2016","Post-SSWD"
"Almar Avenue",7,0.28,0.16,3,0.12,0.19,"04-24-2018","Post-SSWD"
"Almar Avenue",1,0.04,0.02,0,0,0,"05-21-2018","Post-SSWD"
"Almar Avenue",8,0.32,0.18,2,0.08,0.13,"05-04-2019","Post-SSWD"
"Almar Avenue",19,0.76,0.44,11,0.44,0.69,"01-23-2020","Post-SSWD"
"Almar Avenue",9,0.36,0.21,0,0,0,"02-05-2020","Post-SSWD"
"Almar Avenue",10,0.4,0.23,0,0,0,"02-05-2020","Post-SSWD"
"Almar Avenue",7,0.28,0.16,1,0.04,0.06,"03-24-2021","Post-SSWD"
"Almar Avenue",6,0.24,0.14,1,0.04,0.06,"04-21-2022","Post-SSWD"
